rank,stadium,capacity,region,country,city,images,home_team,location
127.0,National Heroes Stadium,60000.0,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zambian national football team,"[-15.3695067, 28.2737420222]"
128.0,Odi Stadium,60000.0,Africa,South Africa,"Mabopane, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[-25.5216914, 28.040565091]"
129.0,Morodok Techo National Stadium,60000.0,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Cambodia national football team,"[11.68297715, 104.8763078275]"
130.0,Shenyang Olympic Sports Centre Stadium,60000.0,East Asia,China,"Shenyang, Liaoning",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[41.73911265, 123.4574420308]"
131.0,Optus Stadium,60000.0,Oceania,Australia,"Perth, Western Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Perth Glory FC, Fremantle Dockers, West Coast Eagles","[-31.9510448, 115.8890756277]"
132.0,Estadio Monumental Isidro Romero Carbo,59283.0,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Barcelona Sporting Club,"[-2.18582235, -79.9249700465]"
133.0,Groupama Stadium,59186.0,Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Olympique Lyonnais,"[45.7653624, 4.9820543111]"
134.0,Chongqing Olympic Sports Centre Stadium,58680.0,East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[29.52863975, 106.5021602895]"
135.0,Stadion Narodowy,58580.0,Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Poland national football team,"[52.2399367, 21.0452877037]"
136.0,Stadio San Nicola,58270.0,Europe,Italy,"Bari, Apulia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,SSC Bari,"[41.0847276, 16.8400848978]"
137.0,Commanders Field,58000.0,North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Washington Commanders,"[38.9077002, -76.8633260869]"
138.0,Deutsche Bank Park,58000.0,Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Eintracht Frankfurt,"[50.06861025, 8.6454153842]"
139.0,Estadio La Cartuja de Sevilla,57619.0,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[37.41723525, -6.0046133617]"
140.0,Carter–Finley Stadium,57583.0,North America,United States,"Raleigh, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,NC State Wolfpack football,"[35.80084645, -78.7196045158]"
141.0,Estadio Alberto J. Armando,57200.0,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,CA Boca Juniors,"[-34.63551715, -58.3649163269]"
142.0,Volksparkstadion,57030.0,Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Hamburger SV,"[53.5871535, 9.8987055537]"
143.0,Estadio Mario Alberto Kempes,57000.0,South America,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Talleres de Córdoba, some Belgrano de Córdoba matches.","[-31.36884685, -64.2461450792]"
144.0,Jinan Olympic Sports Centre Stadium,56808.0,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Shandong Taishan,"[36.65637625, 117.110232194]"
145.0,Estadio Jalisco,56713.0,North America,Mexico,"Guadalajara, Jalisco",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Atlas,"[20.70477005, -103.3276846189]"
146.0,Commonwealth Stadium,56302.0,North America,Canada,"Edmonton, Alberta",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Edmonton Elks, Canadian men's and women's national teams","[53.55970035, -113.4776475019]"
147.0,Dodger Stadium,56000.0,North America,United States,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Los Angeles Dodgers,"[34.0736263, -118.2389758157]"
148.0,Stade du 19-mai-1956,56000.0,Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,USM Annaba,"[36.8858603, 7.7330747274]"
149.0,Estadi Olímpic Lluís Companys,55926.0,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[41.36472, 2.155645097]"
150.0,Arena do Grêmio,55662.0,South America,Brazil,"Porto Alegre, Rio Grande do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Grêmio FBPA,"[-29.97404295, -51.1951073494]"
151.0,Arena Națională,55634.0,Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Romania national football team,"[44.4372494, 26.1524757717]"
152.0,Stadion Rajko Mitić,55538.0,Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Red Star Belgrade, Serbia national football team","[44.78322025, 20.4646750509]"
153.0,Stadion Śląski,55211.0,Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Poland national football team, Ruch Chorzów","[50.28824565, 18.9734993195]"
154.0,Etihad Stadium,55097.0,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Manchester City,"[53.48309105, -2.2002520023]"
155.0,Mestalla,55000.0,Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Valencia CF,"[39.4745279, -0.3581566362]"
156.0,National Stadium,55000.0,Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Singapore national football team,"[1.30449095, 103.8743437185]"
157.0,National Stadium,55000.0,East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Chinese Taipei national football team,"[22.70285345, 120.2936331003]"
158.0,He Long Stadium,55000.0,East Asia,China,"Changsha, Hunan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.181759, 112.9773896965]"
159.0,Cape Town Stadium,55000.0,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Cape Town City FC, DHL Western Cape Stormers","[-33.9034601, 18.4111458249]"
160.0,Plovdiv Stadium,55000.0,Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[42.14970905, 24.719840928]"
