rank,stadium,capacity,region,country,city,images,home_team
237,Estadio Akron,"49,850",North America,Mexico,Guadalajara,,C.D. Guadalajara
238,Levy Mwanawasa Stadium,"49,800",Africa,Zambia,Lusaka,no image,Zesco United
239,Fritz-Walter-Stadion,"49,780",Europe,Germany,Kaiserslautern,,1. FC Kaiserslautern
240,Estadio José Amalfitani,"49,540",South America,Argentina,Buenos Aires,,CA Vélez Sársfield
241,Camille Chamoun Sports City Stadium,"49,500",West Asia,Lebanon,Beirut,,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
242,Miyagi Stadium,"49,133",East Asia,Japan,"Rifu, Miyagi",,Vegalta Sendai
243,Incheon Munhak Stadium,"49,084",East Asia,South Korea,Incheon,,
244,Heinz-von-Heiden-Arena,"49,000",Europe,Germany,Hanover,,Hannover 96
245,Parc des Princes,"48,712",Europe,France,Paris,,Paris Saint-Germain
246,Stadium of Light,"48,707",Europe,England,"Sunderland, Tyne and Wear",,Sunderland AFC
247,Estadio Nacional,"48,665",South America,Chile,Santiago,,"Chile national football team, CF Universidad de Chile"
248,Nelson Mandela Bay Stadium,"48,459",Africa,South Africa,"Port Elizabeth, Eastern Cape",,Chippa United FC
249,Estadio Tomás Adolfo Ducó,"48,314",South America,Argentina,Buenos Aires,,CA Huracán
250,Jinnah Sports Stadium,"48,200",South Asia,Pakistan,Islamabad,,Pakistan national football team
251,Estadio Libertadores de América,"48,069",South America,Argentina,Avellaneda,,Club Atlético Independiente
252,Free State Stadium,"48,000",Africa,South Africa,"Bloemfontein, Free State",,"Bloemfontein Celtic, Toyota Cheetahs"
253,Nagai Stadium,"47,816",East Asia,Japan,Osaka,,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
254,Neo Química Arena,"47,605",South America,Brazil,"São Paulo, São Paulo",,Corinthians
255,Rogers Centre,"47,568",North America,Canada,"Toronto, Ontario",,"Toronto FC, Toronto Argonauts"
256,Estadio Monumental,"47,347",South America,Chile,Santiago,,Colo-Colo
257,Stadio Artemio Franchi,"47,282",Europe,Italy,Florence,,ACF Fiorentina
258,Estadio Ciudad de Lanús – Néstor Díaz Pérez,"47,027",South America,Argentina,Lanús,,CA Lanús
259,Estadio Metropolitano Roberto Meléndez,"46,788",South America,Colombia,Barranquilla,,"Colombia national football team, Atlético Junior"
260,Estádio Olímpico Nilton Santos,"46,831",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,Botafogo FR
261,Itaipava Arena Pernambuco,"46,154",South America,Brazil,"São Lourenço da Mata, Pernambuco",,Náutico
262,Arena MRV,"46,000",South America,Brazil,"Belo Horizonte, Minas Gerais",,C Atlético Mineiro
263,Estádio Paulo Constantino,"45,954",South America,Brazil,"Presidente Prudente, São Paulo",,Grêmio Prudente
264,Estadio Atanasio Girardot,"45,739",South America,Colombia,Medellín,,"Atlético Nacional, Independiente Medellín"
265,Estadio Ramón Sánchez Pizjuán,"45,500",Europe,Spain,Seville,,Sevilla FC
266,Adrar Stadium,"45,480",Africa,Morocco,Agadir,,Hassania Agadir
267,Lukoil Arena,"45,360",Europe,Russia,Moscow,,Spartak Moscow
268,Grand stade de Marrakech,"45,240",Africa,Morocco,Marrakesh,,Kawkab Marrakech
269,Mandela National Stadium,"45,202",Africa,Uganda,Kampala,,Uganda national football team
270,Tarczyński Arena Wrocław,"45,105",Europe,Poland,Wrocław,,Śląsk Wrocław
271,Kazan Arena,"45,105",Europe,Russia,Kazan,,Rubin Kazan
272,Estadio Inca Garcilaso de la Vega,"45,056",South America,Peru,Cusco,,"CS Cienciano, Deportivo Garcilaso, Cusco FC"
273,Estádio da Machava,"45,000",Africa,Mozambique,Maputo,no image,Mozambique national football team
274,Stadion Gelora Bung Tomo,"45,000",Southeast Asia,Indonesia,"Surabaya, East Java",no image,Persebaya Surabaya
